Date,Daily Cases by Reported Date,Cases Currently in Hospital,Cases Currently in ICU
2020-02-10,,1,0
2020-02-11,,1,0
2020-02-12,,1,0
2020-02-13,,1,0
2020-02-14,,1,0
2020-02-15,,1,0
2020-02-16,,1,0
2020-02-17,,1,0
2020-02-18,,1,0
2020-02-19,,1,0
2020-02-20,,1,0
2020-02-21,,1,0
2020-02-22,,1,0
2020-02-23,,1,0
2020-02-24,,1,0
2020-02-25,,1,0
2020-02-26,,1,0
2020-02-27,,1,0
2020-02-28,,1,0
2020-02-29,,1,0
2020-03-01,,1,0
2020-03-02,,1,0
2020-03-03,,1,0
2020-03-04,,1,0
2020-03-05,,1,0
2020-03-06,,1,0
2020-03-07,,1,0
2020-03-08,,1,0
2020-03-09,1,1,0
2020-03-10,,1,0
2020-03-11,,1,0
2020-03-12,3,1,0
2020-03-13,1,1,0
2020-03-14,4,2,0
2020-03-15,4,2,0
2020-03-16,,2,0
2020-03-17,5,4,0
2020-03-18,4,3,0
2020-03-19,1,7,0
2020-03-20,2,10,1
2020-03-21,4,10,1
2020-03-22,6,13,5
2020-03-23,9,17,5
2020-03-24,8,20,7
2020-03-25,8,23,8
2020-03-26,19,25,7
2020-03-27,27,26,9
2020-03-28,26,25,8
2020-03-29,11,31,8
2020-03-30,48,32,12
2020-03-31,51,34,13
2020-04-01,37,33,15
2020-04-02,32,34,14
2020-04-03,26,37,14
2020-04-04,18,43,14
2020-04-05,40,43,13
2020-04-06,40,44,12
2020-04-07,25,45,14
2020-04-08,26,44,16
2020-04-09,25,47,16
2020-04-10,37,48,16
2020-04-11,31,52,19
2020-04-12,35,48,18
2020-04-13,16,50,20
2020-04-14,32,50,20
2020-04-15,60,50,16
2020-04-16,21,52,13
2020-04-17,73,49,13
2020-04-18,31,46,11
2020-04-19,37,47,15
2020-04-20,16,45,13
2020-04-21,51,43,11
2020-04-22,35,45,9
2020-04-23,50,48,11
2020-04-24,38,48,10
2020-04-25,53,49,9
2020-04-26,87,50,9
2020-04-27,87,54,11
2020-04-28,65,60,13
2020-04-29,27,61,13
2020-04-30,30,55,11
2020-05-01,43,57,11
2020-05-02,22,57,12
2020-05-03,23,52,12
2020-05-04,14,51,10
2020-05-05,29,49,9
2020-05-06,23,52,10
2020-05-07,32,54,10
2020-05-08,16,54,8
2020-05-09,12,51,6
2020-05-10,25,52,5
2020-05-11,14,51,5
2020-05-12,13,50,6
2020-05-13,21,47,7
2020-05-14,25,45,6
2020-05-15,17,43,5
2020-05-16,19,41,4
2020-05-17,15,41,2
2020-05-18,25,42,1
2020-05-19,23,39,1
2020-05-20,17,40,1
2020-05-21,11,37,1
2020-05-22,7,35,1
2020-05-23,6,34,0
2020-05-24,8,35,1
2020-05-25,6,34,1
2020-05-26,16,34,1
2020-05-27,8,32,1
2020-05-28,4,30,1
2020-05-29,7,31,1
2020-05-30,15,31,1
2020-05-31,10,34,1
2020-06-01,5,33,1
2020-06-02,8,28,1
2020-06-03,8,23,1
2020-06-04,8,20,0
2020-06-05,15,21,0
2020-06-06,2,21,0
2020-06-07,4,20,0
2020-06-08,,19,0
2020-06-09,3,18,0
2020-06-10,7,17,0
2020-06-11,5,16,0
2020-06-12,10,16,0
2020-06-13,6,16,0
2020-06-14,1,16,0
2020-06-15,2,14,0
2020-06-16,3,14,0
2020-06-17,8,6,1
2020-06-18,2,6,1
2020-06-19,5,5,1
2020-06-20,1,5,1
2020-06-21,1,4,1
2020-06-22,6,1,1
2020-06-23,4,1,1
2020-06-24,3,2,1
2020-06-25,6,2,1
2020-06-26,6,2,1
2020-06-27,3,1,1
2020-06-28,2,1,1
2020-06-29,1,3,1
2020-06-30,10,3,1
2020-07-01,4,3,2
2020-07-02,4,3,1
2020-07-03,4,3,1
2020-07-04,4,3,1
2020-07-05,5,2,1
2020-07-06,,2,1
2020-07-07,6,1,1
2020-07-08,5,1,1
2020-07-09,5,2,0
2020-07-10,12,2,0
2020-07-11,7,2,1
2020-07-12,9,3,1
2020-07-13,6,3,0
2020-07-14,4,4,0
2020-07-15,15,5,0
2020-07-16,7,5,0
2020-07-17,17,5,1
2020-07-18,16,6,1
2020-07-19,28,6,1
2020-07-20,47,8,3
2020-07-21,23,8,3
2020-07-22,13,9,3
2020-07-23,29,10,3
2020-07-24,34,7,3
2020-07-25,26,7,3
2020-07-26,21,9,4
2020-07-27,22,9,4
2020-07-28,14,10,4
2020-07-29,20,11,4
2020-07-30,19,12,4
2020-07-31,18,13,3
2020-08-01,15,13,2
2020-08-02,2,13,2
2020-08-03,10,12,1
2020-08-04,20,11,1
2020-08-05,12,12,1
2020-08-06,13,10,2
2020-08-07,6,10,2
2020-08-08,14,10,1
2020-08-09,16,12,2
2020-08-10,8,12,1
2020-08-11,8,12,1
2020-08-12,12,10,2
2020-08-13,11,9,2
2020-08-14,6,10,2
2020-08-15,2,11,2
2020-08-16,26,11,2
2020-08-17,8,9,1
2020-08-18,15,7,1
2020-08-19,23,7,1
2020-08-20,24,6,0
2020-08-21,16,6,0
2020-08-22,16,7,0
2020-08-23,13,7,0
2020-08-24,19,8,1
2020-08-25,23,11,2
2020-08-26,15,11,2
2020-08-27,16,9,2
2020-08-28,20,9,1
2020-08-29,12,9,1
2020-08-30,16,10,1
2020-08-31,13,11,1
2020-09-01,18,11,1
2020-09-02,15,9,1
2020-09-03,24,8,1
2020-09-04,24,11,1
2020-09-05,17,13,1
2020-09-06,27,14,1
2020-09-07,29,12,1
2020-09-08,24,14,1
2020-09-09,15,13,1
2020-09-10,33,14,2
2020-09-11,60,12,1
2020-09-12,47,12,0
2020-09-13,31,11,1
2020-09-14,59,11,1
2020-09-15,41,11,1
2020-09-16,41,11,0
2020-09-17,57,11,2
2020-09-18,46,11,2
2020-09-19,46,10,2
2020-09-20,76,11,2
2020-09-21,56,12,3
2020-09-22,85,15,3
2020-09-23,67,16,3
2020-09-24,38,18,3
2020-09-25,57,20,3
2020-09-26,76,21,4
2020-09-27,109,22,4
2020-09-28,86,27,4
2020-09-29,58,27,3
2020-09-30,108,30,5
2020-10-01,105,29,5
2020-10-02,115,29,5
2020-10-03,65,31,6
2020-10-04,77,32,6
2020-10-05,82,33,6
2020-10-06,139,34,7
2020-10-07,174,36,10
2020-10-08,85,36,9
2020-10-09,96,37,9
2020-10-10,68,43,9
2020-10-11,138,46,10
2020-10-12,62,46,10
2020-10-13,74,45,7
2020-10-14,84,45,7
2020-10-15,107,49,8
2020-10-16,77,47,8
2020-10-17,64,50,8
2020-10-18,74,49,6
2020-10-19,69,48,6
2020-10-20,46,46,5
2020-10-21,69,45,4
2020-10-22,88,44,3
2020-10-23,92,37,3
2020-10-24,63,36,3
2020-10-25,69,38,3
2020-10-26,77,39,3
2020-10-27,61,32,3
2020-10-28,93,30,2
2020-10-29,65,38,2
2020-10-30,122,41,2
2020-10-31,83,40,2
2020-11-01,50,38,2
2020-11-02,56,43,2
2020-11-03,36,44,2
2020-11-04,53,41,1
2020-11-05,45,44,2
2020-11-06,79,47,3
2020-11-07,75,47,4
2020-11-08,47,48,4
2020-11-09,31,47,4
2020-11-10,52,48,5
2020-11-11,77,47,5
2020-11-12,60,44,3
2020-11-13,79,36,3
2020-11-14,50,37,3
2020-11-15,30,35,2
2020-11-16,11,33,2
2020-11-17,40,32,2
2020-11-18,66,32,2
2020-11-19,53,30,2
2020-11-20,28,30,2
2020-11-21,27,31,2
2020-11-22,26,31,4
2020-11-23,20,27,3
2020-11-24,21,23,3
2020-11-25,38,23,2
2020-11-26,60,23,2
2020-11-27,56,24,1
2020-11-28,60,25,1
2020-11-29,22,28,1
2020-11-30,47,25,1
2020-12-01,34,27,1
2020-12-02,49,31,1
2020-12-03,38,33,1
2020-12-04,55,31,1
2020-12-05,46,31,1
2020-12-06,33,31,2
2020-12-07,23,30,1
2020-12-08,57,27,1
2020-12-09,36,24,3
2020-12-10,60,23,3
2020-12-11,48,23,2
2020-12-12,59,20,2
2020-12-13,30,19,2
2020-12-14,16,20,2
2020-12-15,54,20,1
2020-12-16,53,18,1
2020-12-17,61,17,0
2020-12-18,25,16,0
2020-12-19,46,19,0
2020-12-20,24,16,0
2020-12-21,22,15,0
2020-12-22,73,15,0
2020-12-23,52,13,1
2020-12-24,49,13,1
2020-12-25,47,10,1
2020-12-26,95,12,2
2020-12-27,37,12,4
2020-12-28,65,13,2
2020-12-29,112,12,4
2020-12-30,88,13,5
2020-12-31,147,13,5
2021-01-01,87,13,6
2021-01-02,134,15,6
2021-01-03,106,19,5
2021-01-04,117,21,8
2021-01-05,105,23,8
2021-01-06,132,28,7
2021-01-07,186,32,9
2021-01-08,185,30,11
2021-01-09,155,30,11
2021-01-10,114,34,11
2021-01-11,66,34,13
2021-01-12,161,35,13
2021-01-13,172,35,11
2021-01-14,128,41,10
2021-01-15,145,41,11
2021-01-16,119,39,9
2021-01-17,72,39,9
2021-01-18,63,43,10
2021-01-19,81,45,9
2021-01-20,166,37,7
2021-01-21,81,37,7
2021-01-22,95,37,6
2021-01-23,84,39,9
2021-01-24,44,38,8
2021-01-25,29,39,7
2021-01-26,74,40,5
2021-01-27,80,30,4
2021-01-28,66,30,5
2021-01-29,73,31,4
2021-01-30,42,33,5
2021-01-31,25,32,6
2021-02-01,26,29,5
2021-02-02,59,27,5
2021-02-03,54,26,4
2021-02-04,51,25,5
2021-02-05,72,21,5
2021-02-06,61,21,6
2021-02-07,33,23,4
2021-02-08,24,21,5
2021-02-09,43,19,2
2021-02-10,40,20,4
2021-02-11,51,16,3
2021-02-12,52,16,2
2021-02-13,46,21,2
2021-02-14,48,21,2
2021-02-15,34,23,2
2021-02-16,60,24,2
2021-02-17,49,25,2
2021-02-18,68,26,3
2021-02-19,58,26,3
2021-02-20,66,26,3
2021-02-21,53,24,4
2021-02-22,32,23,6
2021-02-23,47,26,6
2021-02-24,60,24,6
2021-02-25,43,23,6
2021-02-26,57,21,6
2021-02-27,71,23,6
2021-02-28,49,28,6
2021-03-01,54,29,6
2021-03-02,61,29,4
2021-03-03,65,32,5
2021-03-04,61,31,5
2021-03-05,51,28,2
2021-03-06,46,27,2
2021-03-07,54,26,5
2021-03-08,38,29,4
2021-03-09,70,27,3
2021-03-10,76,24,2
2021-03-11,73,20,2
2021-03-12,93,17,2
2021-03-13,56,22,4
2021-03-14,65,23,3
2021-03-15,58,25,5
2021-03-16,85,27,6
2021-03-17,78,27,5
2021-03-18,63,24,5
2021-03-19,117,24,4
2021-03-20,83,27,4
2021-03-21,87,29,4
2021-03-22,56,30,7
2021-03-23,108,31,9
2021-03-24,85,33,9
2021-03-25,123,40,10
2021-03-26,103,42,11
2021-03-27,138,44,13
2021-03-28,139,45,13
2021-03-29,111,47,12
2021-03-30,170,48,12
2021-03-31,163,54,14
2021-04-01,144,52,15
2021-04-02,242,56,15
2021-04-03,223,61,14
2021-04-04,152,64,16
2021-04-05,184,67,18
2021-04-06,156,70,20
2021-04-07,219,76,24
2021-04-08,170,83,30
2021-04-09,261,88,31
2021-04-10,381,92,27
2021-04-11,205,100,29
2021-04-12,265,101,27
2021-04-13,245,105,28
2021-04-14,389,101,28
2021-04-15,312,107,29
2021-04-16,348,114,24
2021-04-17,405,123,23
2021-04-18,294,122,22
2021-04-19,258,116,22
2021-04-20,188,119,27
2021-04-21,207,111,25
2021-04-22,239,107,22
2021-04-23,189,113,29
2021-04-24,227,119,31
2021-04-25,139,125,30
2021-04-26,173,124,31
2021-04-27,189,121,31
2021-04-28,186,116,27
2021-04-29,159,113,29
2021-04-30,178,109,27
2021-05-01,138,110,29
2021-05-02,128,108,27
2021-05-03,102,98,22
2021-05-04,141,94,23
2021-05-05,114,88,23
2021-05-06,122,88,22
2021-05-07,108,95,23
2021-05-08,136,86,21
2021-05-09,69,83,22
2021-05-10,82,85,22
2021-05-11,124,79,21
2021-05-12,115,80,22
2021-05-13,78,77,20
2021-05-14,128,70,21
2021-05-15,85,64,19
2021-05-16,46,67,19
2021-05-17,87,71,19
2021-05-18,97,64,16
2021-05-19,91,57,14
2021-05-20,73,63,15
2021-05-21,77,59,13
2021-05-22,77,58,15
2021-05-23,39,59,12
2021-05-24,65,57,11
2021-05-25,56,54,11
2021-05-26,76,47,8
2021-05-27,62,42,9
2021-05-28,65,34,7
2021-05-29,45,36,9
2021-05-30,46,36,8
2021-05-31,40,35,6
2021-06-01,38,31,5
2021-06-02,48,30,6
2021-06-03,48,29,5
2021-06-04,43,29,6
2021-06-05,39,30,4
2021-06-06,21,29,4
2021-06-07,17,27,4
2021-06-08,28,26,3
2021-06-09,33,24,4
2021-06-10,20,21,5
2021-06-11,36,16,4
2021-06-12,29,17,6
2021-06-13,18,16,5
2021-06-14,22,15,4
2021-06-15,22,15,4
2021-06-16,24,13,4
2021-06-17,12,12,5
2021-06-18,26,13,4
2021-06-19,18,11,3
2021-06-20,7,11,3
2021-06-21,13,10,2
2021-06-22,13,7,2
2021-06-23,18,5,1
2021-06-24,8,5,0
2021-06-25,7,7,0
2021-06-26,9,7,0
2021-06-27,8,6,0
2021-06-28,1,5,0
2021-06-29,8,4,0
2021-06-30,8,3,0
2021-07-01,7,2,0
2021-07-02,6,3,0
2021-07-03,6,2,0
2021-07-04,2,3,0
2021-07-05,2,3,0
2021-07-06,12,3,0
2021-07-07,6,3,0
2021-07-08,5,4,0
2021-07-09,3,3,0
2021-07-10,,3,0
2021-07-11,,3,0
2021-07-12,1,2,0
2021-07-13,2,2,0
2021-07-14,,1,0
2021-07-15,1,1,0
2021-07-16,8,1,0
2021-07-17,5,1,0
2021-07-18,4,1,0
2021-07-19,2,1,0
2021-07-20,10,1,0
2021-07-21,12,1,0
2021-07-22,5,2,0
2021-07-23,3,2,0
2021-07-24,2,2,0
2021-07-25,7,2,0
2021-07-26,5,3,0
2021-07-27,7,3,0
2021-07-28,8,2,0
2021-07-29,9,2,0
2021-07-30,4,2,0
2021-07-31,8,1,0
2021-08-01,1,1,0
2021-08-02,3,2,0
2021-08-03,10,2,0
2021-08-04,15,4,0
2021-08-05,9,4,1
2021-08-06,15,5,1
2021-08-07,13,5,1
2021-08-08,5,4,1
2021-08-09,13,4,1
2021-08-10,18,5,1
2021-08-11,20,5,1
2021-08-12,18,4,1
2021-08-13,26,4,1
2021-08-14,16,5,1
2021-08-15,8,5,1
2021-08-16,21,4,1
2021-08-17,18,4,1
2021-08-18,24,3,1
2021-08-19,19,6,1
2021-08-20,17,6,2
2021-08-21,27,7,2
2021-08-22,17,6,1
2021-08-23,16,4,1
2021-08-24,26,4,1
2021-08-25,27,6,1
2021-08-26,44,9,1
2021-08-27,24,10,1
2021-08-28,38,12,1
2021-08-29,28,11,0
2021-08-30,20,10,1
2021-08-31,22,8,1
2021-09-01,55,10,1
2021-09-02,34,11,1
2021-09-03,50,6,2
2021-09-04,38,6,2
2021-09-05,23,8,1
2021-09-06,29,9,1
2021-09-07,50,9,1
2021-09-08,66,8,1
2021-09-09,58,11,2
2021-09-10,62,8,1
2021-09-11,44,8,1
2021-09-12,53,9,1
2021-09-13,36,14,4
2021-09-14,63,11,5
2021-09-15,58,12,6
2021-09-16,63,12,7
2021-09-17,90,10,7
2021-09-18,44,9,7
2021-09-19,60,10,7
2021-09-20,60,12,8
2021-09-21,36,13,7
2021-09-22,63,17,9
2021-09-23,44,18,9
2021-09-24,56,17,8
2021-09-25,62,17,10
2021-09-26,38,18,11
2021-09-27,31,18,11
2021-09-28,44,19,11
2021-09-29,65,19,11
2021-09-30,61,21,12
2021-10-01,48,20,11
2021-10-02,60,15,9
2021-10-03,37,14,7
2021-10-04,25,10,4
2021-10-05,33,9,4
2021-10-06,28,8,4
2021-10-07,53,8,3
2021-10-08,58,6,2
2021-10-09,37,7,3
2021-10-10,20,7,3
2021-10-11,18,8,4
2021-10-12,31,8,5
2021-10-13,24,8,5
2021-10-14,39,7,5
2021-10-15,33,9,5
2021-10-16,22,9,4
2021-10-17,34,9,4
2021-10-18,23,10,3
2021-10-19,23,12,2
2021-10-20,35,12,3
2021-10-21,44,12,3
2021-10-22,34,9,2
2021-10-23,22,7,1
2021-10-24,14,7,1
2021-10-25,15,7,1
2021-10-26,30,9,2
2021-10-27,35,10,2
2021-10-28,26,14,3
2021-10-29,12,15,3
2021-10-30,28,16,2
2021-10-31,32,15,1
2021-11-01,13,14,1
2021-11-02,31,15,0
2021-11-03,44,16,0
2021-11-04,33,19,0
2021-11-05,45,19,1
2021-11-06,40,20,1
2021-11-07,39,24,3
2021-11-08,36,23,2
2021-11-09,39,25,2
2021-11-10,34,29,2
2021-11-11,48,32,5
2021-11-12,50,33,5
2021-11-13,43,31,3
2021-11-14,43,27,3
2021-11-15,41,23,2
2021-11-16,42,23,1
2021-11-17,44,22,2
2021-11-18,39,20,3
2021-11-19,25,18,2
2021-11-20,50,15,2
2021-11-21,25,15,1
2021-11-22,31,17,0
2021-11-23,27,16,0
2021-11-24,46,14,0
2021-11-25,60,12,0
2021-11-26,51,14,1
2021-11-27,43,15,1
2021-11-28,22,14,2
2021-11-29,26,15,2
2021-11-30,61,16,2
2021-12-01,62,16,2
2021-12-02,64,14,2
2021-12-03,59,11,2
2021-12-04,70,11,2
2021-12-05,35,10,2
2021-12-06,69,9,2
2021-12-07,70,10,1
2021-12-08,44,11,1
2021-12-09,147,12,1
2021-12-10,87,13,0
2021-12-11,150,12,0
2021-12-12,106,13,0
2021-12-13,100,14,0
2021-12-14,199,15,0
2021-12-15,252,12,0
2021-12-16,308,15,0
2021-12-17,355,17,0
2021-12-18,308,17,0
2021-12-19,402,18,0
2021-12-20,387,17,0
2021-12-21,487,18,0
2021-12-22,670,20,0
2021-12-23,736,20,1
2021-12-24,860,22,1
2021-12-25,504,22,1
2021-12-26,428,25,1
2021-12-27,547,29,2
2021-12-28,872,35,1
2021-12-29,1240,39,4
2021-12-30,1339,45,5
2021-12-31,1339,53,5
